image,Actual idiom,Literal Translation,English Pronounciation,Idiom meaning in English,Descriptive Meaning(Human Annotation)
Images/2433.png,เอาปี๊บคลุมหัว,Put a barrel over your head,Ao pip khlum hua,I was so embarrassed that i didn't dare face anyone.,"The Thai idiom ""เอาปี๊บคลุมหัว"" translates to ""putting a bucket over one's head."" It describes a situation where someone feels deeply embarrassed or ashamed, to the point where they want to hide their face from others. The imagery suggests a person covering their head with a bucket to avoid being seen due to their embarrassment."
Images/2434.png,เอาปูนหมายหัว,Take the lime and mark the head.,Ao pun mai hua,"To hold a grudge, to blame, to believe that it will go as expected, to be careless and think that there is no way that it will be good.","The Thai idiom ""เอาปูนหมายหัว"" translates to ""marking someone's head with lime."" It means to falsely accuse someone or to blame someone without evidence. In a visual representation, you might depict a person being marked on the forehead with a white substance (lime) by another person, symbolizing the act of unjustly labeling or accusing them."
Images/2435.png,เอามะพร้าวห้าวไปขายสวน,Take the coconuts to sell in the orchard.,Ao maphrao hao pai khai suan,It's better to show off your knowledge to people who know more.,"The Thai idiom ""เอามะพร้าวห้าวไปขายสวน"" translates to ""Taking old coconuts to sell in the garden."" It means trying to show off or sell something to someone who is already an expert or has plenty of it, implying that the effort is futile or redundant. For an image, you might depict a person carrying a basket of coconuts into a lush coconut grove, where the trees are already laden with coconuts."
Images/2436.png,เอาหน้า,Take the front,Ao na,"Wanting to be praised, wanting to be favored","The Thai idiom ""เอาหน้า"" (ao naa) translates to ""taking the face"" in English. It refers to someone who seeks to gain recognition, praise, or approval, often by taking credit for others' work or by showing off. The imagery for this idiom could depict a person stepping forward into the spotlight, perhaps with a smug expression, while others stand in the background, unnoticed or overshadowed."
Images/2437.png,เอาหน้าไปไว้ที่ไหน,Where did you put your face?,Ao na pai wai thi nai,How to face other people?,"The Thai idiom ""เอาหน้าไปไว้ที่ไหน"" translates to ""Where will you put your face?"" in English. It is used to express a sense of shame or embarrassment, often in situations where someone has done something disgraceful or humiliating. The imagery for this idiom could include a person looking down or covering their face in shame, symbolizing the feeling of wanting to hide one's face due to embarrassment."
Images/2438.png,เอาหูไปนา เอาตาไปไร่,Turn a deaf ear and a blind eye,Ao hu pai na ao ta pai rai,"Pretend not to know, not to see, not to care","The Thai idiom ""เอาหูไปนา เอาตาไปไร่"" translates to ""Take your ears to the field, take your eyes to the farm."" It means to ignore or pretend not to notice something. For an image representation, you might depict a person with exaggeratedly large ears and eyes, turning away or looking indifferent, while a busy field and farm scene unfolds in the background. This visual would capture the essence of deliberately ignoring or being oblivious to one's surroundings."
Images/2439.png,ฮิตติดตลาด,Hit the market,Hit tit talat,"Very popular, popular","The Thai idiom 'ฮิตติดตลาด' translates to ""hit the market"" in English. It describes something that has become extremely popular or trendy, often referring to products, ideas, or trends that have gained widespread acceptance and are in high demand. For an image representation, you might envision a bustling marketplace with a particular item or trend being highly sought after by many enthusiastic people, symbolizing its popularity and widespread appeal."
Images/2440.png,ฮิตติดลม,Hit,Hit tit lom,"Very popular, popular","The Thai idiom 'ฮิตติดลม' translates to ""hit the wind"" in English. It describes something that has become extremely popular or trendy, much like how a kite catches the wind and soars high. The imagery for this idiom could include elements that symbolize popularity and success, such as a kite flying high in the sky, a crowd of people excitedly engaging with a new trend, or a product that is in high demand."
Images/2441.png,กระดูกขัดมัน,Penurious,Kraduk khat man,Very stingy and doesn't give anything to anyone easily.,"The Thai idiom ""กระดูกขัดมัน"" (pronounced ""gra-duuk khat man"") translates to ""polished bone"" in English. It describes a situation where someone is in a difficult or tight spot, often struggling to make ends meet or facing hardship. The imagery of a polished bone suggests something that has been worn down or stripped of its resources, much like a bone that has been cleaned of all its meat. This idiom is used to highlight the challenges and struggles someone might be enduring."
Images/2442.png,กันดีกว่าแก้,Prevention is better than cure.,Kan di kwa kae,Prevent incidents from occurring,"The Thai idiom ""กันดีกว่าแก้"" translates to ""Prevention is better than cure"" in English. It emphasizes the importance of taking proactive measures to avoid problems rather than dealing with them after they arise. An image representing this idiom could depict a person putting up a fence to keep out potential dangers, symbolizing the act of preventing issues before they occur."
Images/2443.png,กินน้ำไต้ศอก,Drink water under your elbow,Kin nam tai sok,"I have to be inferior to him, not as good as him.","The Thai idiom ""กินน้ำไต้ศอก"" (pronounced ""gin nam tai sok"") translates to ""drinking water under the elbow."" It describes a situation where someone is in a position of inferiority or subservience, often having to accept something less desirable or being treated with less respect. The imagery suggests a person who must drink water that has already flowed past someone else's elbow, symbolizing a lower status or a lack of dignity."
Images/2444.png,กินอยู่กับปากอยากอยู่กับท้อง,"Eat with your mouth, want to be with your stomach.",Kin yu kap pak yak yu kap thong,You already know but pretend not to know.,"The Thai idiom ""กินอยู่กับปากอยากอยู่กับท้อง"" translates to ""Eating is with the mouth, wanting is with the stomach."" This idiom emphasizes the difference between satisfying immediate desires (eating with the mouth) and fulfilling deeper, more essential needs (wanting with the stomach). It suggests that while superficial desires can be easily satisfied, true needs require more consideration and effort. 

For an image based on this idiom, you might depict a person with a content expression while eating, symbolizing immediate satisfaction, contrasted with a thoughtful or contemplative expression, representing deeper, unfulfilled needs. The background could include elements like a table with food and a serene setting to highlight the contrast between immediate gratification and deeper longing."
Images/2445.png,กิ้งก่าได้ทอง,The lizard got gold.,Kingka dai thong,People who gain fame and fortune become arrogant and forget their original status.,"The Thai idiom ""กิ้งก่าได้ทอง"" translates to ""A lizard gets gold."" It describes a situation where someone who is not accustomed to wealth or luxury suddenly acquires it and behaves inappropriately or ostentatiously. The imagery for this idiom could include a lizard adorned with gold jewelry or sitting on a pile of gold, looking out of place or behaving extravagantly."
Images/2446.png,แกงจืดจึงรู้คุณเกลือ,Clear soup is known for its salty properties.,Kaeng chuet chueng ru khun kleua,We will know the value of things that we overlook and ignore only when they are gone.,"The Thai idiom ""แกงจืดจึงรู้คุณเกลือ"" translates to ""One appreciates the value of salt when the soup is bland."" This idiom means that people often do not recognize the importance of something or someone until it is missing or lacking. In a visual representation, you might depict a bowl of bland soup with a salt shaker nearby, emphasizing the idea that the soup's flavor is incomplete without the salt."
Images/2447.png,ไก่งามเพราะขน คนงามเพราะแต่ง,"A chicken is beautiful because of its feathers, a person is beautiful because of their clothes.",Kai ngam phro khon ngam phro taeng,Beauty comes from decoration.,"The Thai idiom ""ไก่งามเพราะขน คนงามเพราะแต่ง"" translates to ""A chicken is beautiful because of its feathers; a person is beautiful because of their attire."" This idiom suggests that outward appearances can be enhanced through adornment or grooming. It emphasizes the importance of presentation and how external enhancements can contribute to perceived beauty."
Images/2448.png,ไก่เห็นตีนงูงูเห็นนมไก่,"The chicken sees the snake's feet, the snake sees the chicken's breasts.",Kai hen tin ngu ngu hen nom kai,Both parties know each other's secrets.,"The Thai idiom ""ไก่เห็นตีนงู งูเห็นนมไก่"" translates to ""The chicken sees the snake's feet, the snake sees the chicken's breasts."" It means that two parties are aware of each other's secrets or faults. In a visual representation, you might depict a chicken and a snake observing each other closely, each with a knowing look, symbolizing mutual awareness of hidden truths."
Images/2449.png,ไก่แก่หนังเหนียว,Old chicken with tough skin,Kai kae nang niao,An old man with skill is hard to beat.,"The Thai idiom ""ไก่แก่หนังเหนียว"" translates to ""An old chicken has tough skin."" It is used to describe someone who is experienced and resilient, often implying that they are not easily fooled or taken advantage of due to their wisdom and life experience. In a visual representation, you might depict an older, wise-looking chicken with a tough, textured skin, possibly standing confidently or in a thoughtful pose, symbolizing its hard-earned resilience and knowledge."
Images/2450.png,ขนมจีนผสมน้ำยา,Rice vermicelli mixed with curry,Khanom chin phasom namya,They are just right. you can't say which side is better.,"The Thai idiom ""ขนมจีนผสมน้ำยา"" (khanom jeen phasom nam ya) translates to ""fermented rice noodles mixed with curry."" It is used to describe a situation where two things are combined or mixed together, often implying that they are a good match or complement each other well. The imagery involves a traditional Thai dish where the noodles and curry blend harmoniously, symbolizing a successful or harmonious combination."
Images/2451.png,ขิงก็ราข่าก็แรง,Ginger is old and galangal is strong.,Khing ko ra kha ko raeng,"They are equally fierce, equally hot-tempered, and neither will give in.","The Thai idiom ""ขิงก็ราข่าก็แรง"" translates to ""Both the ginger is moldy, and the galangal is spicy."" It describes a situation where both parties involved are equally difficult, stubborn, or problematic. The imagery suggests that neither side is better or more agreeable than the other, highlighting mutual stubbornness or conflict."
Images/2452.png,ขุนไม่เชื่อง,The king is not tame.,Khun mai chueang,"If you don't tame them, you will only become ungrateful.","The Thai idiom ""ขุนไม่เชื่อง"" translates to ""An ungrateful person"" in English. It describes someone who, despite being helped or nurtured, does not show gratitude or loyalty in return. The imagery often associated with this idiom might include a person turning their back on someone who has supported them, symbolizing ingratitude and betrayal."
Images/2453.png,ข่มเขาโคขืน,Rape the bull,Khom khao kho khuen,"Forcing others to do what you want, such as dressing them up to eat grass according to their mood, is like forcing a cow to eat grass.","The Thai idiom ""ข่มเขาโคขืน"" translates to ""forcing a cow uphill."" It describes a situation where someone is compelled to do something against their will or natural inclination, often leading to resistance and difficulty. The imagery involves a person trying to push or drive a cow up a steep hill, symbolizing an arduous and unnatural effort."
Images/2454.png,ข่มเขาโคขืนให้กลืนหญ้า,Force the cows to swallow the grass.,Khom khao kho khuen hai kluen ya,Forcing others to do what you want,"The Thai idiom ""ข่มเขาโคขืนให้กลืนหญ้า"" translates to ""forcing a cow to swallow grass."" It describes a situation where someone is compelled to do something against their will or natural inclination. The imagery involves a person trying to make a cow eat grass forcefully, highlighting the futility and resistance involved in such an action. This idiom is often used to illustrate the pointlessness or difficulty of trying to make someone do something they are not inclined to do."
Images/2455.png,ข้างนอกขรุขระข้างในต๊ะติ๊งโหน่ง,"Rough outside, but squishy inside",Khang nok khrurakha khang nai ta ting nong,"Things that may not look beautiful or good on the outside, but actually have beauty or goodness hidden inside.","The Thai idiom ""ข้างนอกขรุขระข้างในต๊ะติ๊งโหน่ง"" translates to ""Rough on the outside, but delightful on the inside."" It describes something or someone that may appear unrefined, harsh, or unattractive externally, but possesses inner qualities that are pleasant, valuable, or enjoyable. This idiom emphasizes the importance of not judging based solely on outward appearances."
Images/2456.png,ข้างนอกสุกใสข้างในเป็นโพรง,"Bright outside, hollow inside",Khang nok suk sai khang nai pen phong,"Things that look beautiful on the outside, but are actually bad on the inside.","The Thai idiom ""ข้างนอกสุกใสข้างในเป็นโพรง"" translates to ""Outside is shiny, inside is hollow."" This idiom describes something or someone that appears attractive or impressive on the outside but lacks substance or value on the inside. It highlights the importance of looking beyond external appearances to understand the true nature or quality of something."
Images/2457.png,เขียนด้วยมือลบด้วยเท้า,"Write with hand, erase with foot",Khian duai mue lop duai thao,Praise and then destroy later,"The Thai idiom ""เขียนด้วยมือลบด้วยเท้า"" translates to ""written with the hand, erased with the foot."" It describes a situation where someone makes a commitment or promise (symbolized by writing with the hand) but then carelessly or disrespectfully breaks it (symbolized by erasing with the foot). This idiom highlights the inconsistency and lack of integrity in a person's actions. 

For an image representation, you might visualize a hand writing something important on a piece of paper, while a foot is poised to smudge or erase the writing, symbolizing the act of breaking a promise or commitment."
Images/2458.png,เข้าทางตรอกออกทางประตู,Enter through the alley and exit through the door.,Khao thang trok ok thang pratu,"Following the customs of asking for a hand in marriage, the young man and woman who are in love with each other respect each other, enter through the alley and leave through the door, so to speak.","The Thai idiom ""เข้าทางตรอกออกทางประตู"" translates to ""Enter through the alley, exit through the door."" It means to start something in a humble or modest way and finish it in a grand or proper manner. For an image representation, you might depict a person entering a small, narrow alleyway and then emerging through a large, ornate door, symbolizing the transition from modest beginnings to a more significant or formal conclusion."
Images/2459.png,คนตายขายคนเป็น,Dead people sell to living people,Khon tai khai khon pen,Holding a grand funeral for the deceased even though the deceased are poor and have no money or have borrowed money until they are in debt.,"The Thai idiom ""คนตายขายคนเป็น"" translates to ""The dead sell the living."" It means that the actions or legacy of those who have passed away can significantly impact the lives of those who are still living. This could be interpreted as the deceased leaving behind a reputation, debts, or responsibilities that the living must deal with. 

For an image representation, you might consider depicting a scene where a ghostly figure or a tombstone is connected by a chain to a living person, symbolizing the ongoing influence or burden left by the deceased."
Images/2460.png,คนรักเท่าผืนหนังคนชังเท่าผืนเสื่อ,"People who love you are as big as a piece of skin, people who hate you are as big as a mat.",Khon rak thao phuen nang khon chang thao phuen suea,"There are few lovers, many haters.","Certainly! The Thai idiom ""คนรักเท่าผืนหนังคนชังเท่าผืนเสื่อ"" translates to ""Those who love you are as few as a piece of leather, those who hate you are as many as a mat."" This idiom suggests that genuine love and support are rare and precious, while animosity and criticism are abundant and widespread. 

For an image based on this idiom, you might depict a small, valuable piece of leather symbolizing the few who truly love and support you, contrasted with a large, common mat representing the many who harbor negative feelings or criticism."
Images/2461.png,คนล้มอย่าข้าม,Don't step on someone who has fallen.,Khon lom ya kham,"People who used to have power and influence but lost power, don't make things worse for them because they may come back to power again.","The Thai idiom ""คนล้มอย่าข้าม"" translates to ""Do not step over a fallen person."" This idiom advises against taking advantage of or disrespecting someone who is in a vulnerable or unfortunate situation. It emphasizes the importance of compassion, empathy, and helping others rather than ignoring or exploiting their difficulties. An image representing this idiom might depict a person offering a helping hand to someone who has fallen down, symbolizing support and kindness."
Images/2462.png,คบคนพาลพาลพาไปหาผิด คบบัณฑิตบัณฑิตพาไปหาผล,Keeping bad company will lead you to wrongdoings. Keeping good company will lead you to success.,Khop khon phan phan pha pai ha phit khop bandit bandit pha pai ha phon,"Choosing friends must be considered carefully. if you make friends with bad people, bad people will lead you down a bad path. if you make friends with good people who are knowledgeable, good people will lead you down a good path.","The Thai idiom ""คบคนพาลพาลพาไปหาผิด คบบัณฑิตบัณฑิตพาไปหาผล"" translates to ""Associate with the wicked, and they will lead you to wrongdoing; associate with the wise, and they will lead you to success."" This idiom emphasizes the importance of choosing one's companions wisely, as they can significantly influence one's actions and outcomes. An image representing this idiom could depict two contrasting scenes: one showing a person being led astray by a group of mischievous individuals, and the other showing a person being guided towards success by a group of wise, scholarly individuals."
Images/2463.png,คบคนให้ดูหน้าซื้อผ้าให้ดูเนื้อ,"When choosing a friend, look at their appearance; when buying cloth, look at the material.",Khop khon hai du na sue pha hai du nuea,"Before dating someone, consider carefully, just like choosing fabric.","The Thai idiom ""คบคนให้ดูหน้าซื้อผ้าให้ดูเนื้อ"" translates to ""When befriending someone, look at their face; when buying cloth, look at its texture."" This means that just as you examine the quality of fabric before purchasing it, you should also carefully consider a person's character and appearance before forming a relationship with them. The idiom emphasizes the importance of discernment and careful judgment in both social interactions and material choices. 

For an image representation, you might depict a person thoughtfully examining a piece of fabric in one scene, and in another scene, observing or interacting with another person, symbolizing the careful consideration advised by the idiom."
Images/2464.png,ความรักไม่มีพรมแดน,Love has no boundaries,Khwam rak mai mi phromdaen,"If we are soulmates, even if we are far apart, we can always find a way to love and like each other. it is like there are no boundaries that can block our love.","The Thai idiom ""ความรักไม่มีพรมแดน"" translates to ""Love knows no boundaries"" in English. This idiom suggests that true love transcends all barriers, whether they are cultural, geographical, social, or any other form of limitation. It emphasizes the universal and unifying power of love, which can overcome any obstacle. An image representing this idiom might depict diverse couples or families from different backgrounds coming together, or symbols of love like hearts or intertwined hands crossing over maps or borders."
Images/2465.png,คับที่อยู่ได้คับใจอยู่ยาก,"A cramped place is fine, but a cramped heart is hard to live in.",Khap thi yu dai khap chai yu yak,"Even if the place is cramped, it is okay to live if you are comfortable. but if you are uncomfortable, even if the place is spacious, it is not okay to live.","The Thai idiom ""คับที่อยู่ได้คับใจอยู่ยาก"" translates to ""A cramped space is livable, but a cramped heart is hard to endure."" This idiom suggests that physical discomfort or limited space can be tolerated, but emotional distress or a troubled mind is much more difficult to bear. An image representing this idiom could depict a person living contentedly in a small, cluttered room, while another person appears distressed or unhappy despite being in a more comfortable or spacious environment."
Images/2466.png,คุณข้าวแดงแกงร้อน,You red rice and hot curry,Khun khao daeng kaeng ron,"The kindness that the benefactor has given in helping, such as red rice and hot curry, is also said.","The Thai idiom 'คุณข้าวแดงแกงร้อน' translates to 'the gratitude for the red rice and hot curry.' It signifies deep appreciation and gratitude for the food provided, often symbolizing the broader concept of being thankful for the basic necessities and kindness received from others. An image representing this idiom might depict a traditional Thai meal with red rice and hot curry, emphasizing the warmth and generosity of the giver."
Images/2467.png,เงินดีงานดี,"Good money, good work",Ngoen di ngan di,"If you get good compensation, you will be rewarded with good work.","The Thai idiom ""เงินดีงานดี"" translates to ""Good money, good work"" in English. It suggests that when one is well-compensated, the quality of work tends to be higher. For an image representation, you might depict a satisfied worker receiving a generous paycheck, symbolizing the connection between fair compensation and high-quality work."
Images/2468.png,จนแล้วไม่เจียม,"When you are poor, you are not modest.",Chon laeo mai chiam,Not knowing the value of one's own status,"The Thai idiom ""จนแล้วไม่เจียม"" translates to ""Poor but not humble"" in English. It describes a person who, despite being in a state of poverty or lacking resources, does not exhibit humility or modesty. Instead, they may act arrogantly or beyond their means, failing to recognize or accept their true situation. An image representing this idiom could depict a person dressed in extravagant clothing or engaging in lavish activities, despite being surrounded by signs of poverty or a modest living environment."
Images/2469.png,จนไม่ลง,Until it doesn't go down,Chon mai long,"Once rich, you can't live up to your financial situation, it's like being stuck in a rut.","The Thai idiom ""จนไม่ลง"" translates to ""cannot become poor"" in English. It describes a person who, despite various challenges or setbacks, always manages to maintain their wealth or well-being. This could be due to their resourcefulness, resilience, or inherent good fortune. An image representing this idiom might depict a person standing strong and confident amidst a storm or chaos, symbolizing their unyielding stability and ability to thrive regardless of circumstances."
Images/2470.png,จระเข้ขวางคลอง,Crocodile blocks the canal,Chorakhe khwang khlong,"People who like to block or prevent others from doing something conveniently are like crocodiles that come up to block a canal, making it inconvenient for boats to pass through.","The Thai idiom 'จระเข้ขวางคลอง' translates to 'a crocodile blocking the canal' in English. This idiom is used to describe a situation where someone or something is obstructing progress or causing difficulties, much like a crocodile in a canal would hinder the flow of water or the passage of boats. The imagery evokes a sense of an imposing and potentially dangerous obstacle that must be dealt with to move forward."
Images/2471.png,เจ้าบุญนายคุณ,Benefactor,Chao bun nai khun,Benefactor,"The Thai idiom ""เจ้าบุญนายคุณ"" (jao bun nai khun) translates to ""a person who brings great merit and kindness."" It describes someone who is highly generous, benevolent, and often helps others, earning respect and gratitude from those around them. This person is seen as a benefactor or a patron, contributing positively to the community or individuals in need."
Images/2472.png,ใจดีผีเข้า,Kind-hearted ghost possessed,Chai di phi khao,Kind people who are too kind often get bullied.,"The Thai idiom ""ใจดีผีเข้า"" (pronounced ""jai dee phee khao"") translates to ""a kind heart possessed by a ghost."" It describes a situation where a normally kind and gentle person suddenly behaves in an uncharacteristically angry or aggressive manner, as if they were possessed by a spirit. The imagery for this idiom could include a person with a kind demeanor whose expression or actions suddenly change to something fierce or wild, possibly with ghostly or supernatural elements to emphasize the transformation."
Images/2473.png,ใจดีสู้เสือ,A kind heart fights a tiger.,Chai di su suea,"Be brave, control your mind and do not be shaken by the situation in front of you when you encounter something scary or dangerous.","The Thai idiom ""ใจดีสู้เสือ"" translates to ""Brave the tiger with a kind heart."" It means facing a dangerous or challenging situation with courage and kindness. For an image, you could depict a person standing calmly and confidently in front of a tiger, perhaps with a gentle expression or gesture, symbolizing bravery and compassion in the face of danger."
Images/2474.png,ใจเขาใจเรา,Put yourself in other people's shoes,Chai khao chai rao,"Being empathetic towards others, if you are thinking of doing something to others, think about their feelings. if you were in their shoes, how would you feel?","The Thai idiom ""ใจเขาใจเรา"" translates to ""His heart, our heart"" in English. It emphasizes the importance of empathy and understanding others' feelings by putting oneself in their shoes. To visually represent this idiom, you might depict two individuals facing each other, with a heart symbol connecting them, illustrating mutual empathy and shared emotions."
Images/2475.png,ชักน้ำเข้าลึกชักศึกเข้าบ้าน,Bringing water deeper brings war into the house.,Chak nam khao luek chak suek khao ban,Bring the enemy into your home,"The Thai idiom ""ชักน้ำเข้าลึกชักศึกเข้าบ้าน"" translates to ""Drawing water deep, bringing war into the house."" It means to invite trouble or conflict into one's own home or situation. For an image, you could depict a person pulling a rope that is drawing water from a deep well, while in the background, a scene of conflict or chaos is unfolding, symbolizing the unintended consequences of their actions."
Images/2476.png,ชักแม่น้ำทั้งห้า,Pulling all five rivers,Chak mae nam thang ha,Speak persuasively and flatter others in order to get what you want.,"The Thai idiom ""ชักแม่น้ำทั้งห้า"" (pronounced ""chak mae nam thang ha"") translates to ""pulling in all five rivers."" It describes someone who uses elaborate and excessive flattery or persuasion to achieve their goal. The imagery suggests a person going to great lengths, as if they are trying to divert the flow of five rivers, to convince or win over someone."
Images/2477.png,ชั่วเจ็ดทีดีเจ็ดหน,"Seven bad times, seven good times",Chua chet thi di chet hon,"Life is uncertain. there are ups and downs. so when you are in a difficult situation, don't be discouraged or lose hope in life. and when you are in a prosperous situation, when you have power and influence, don't forget yourself. don't be careless.","The Thai idiom ""ชั่วเจ็ดทีดีเจ็ดหน"" translates to ""Seven times bad, seven times good"" in English. It conveys the idea that life is full of ups and downs, and that both good and bad times are temporary and cyclical. The idiom encourages resilience and optimism, suggesting that after experiencing difficulties, good times will eventually come.

For an image based on this idiom, you might depict a scene with contrasting elements, such as a stormy sky transitioning to a bright, sunny day, or a person climbing a series of peaks and valleys, symbolizing the alternating nature of challenges and successes in life."
Images/2478.png,ชาติเสือต้องไว้ลาย ชาติชายต้องไว้ชื่อ,"A tiger must have stripes, a man must have a name.",Chat suea tong wai lai chat chai tong wai chuea,A man who is known to be capable must demonstrate his knowledge and abilities to the public.,"The Thai idiom ""ชาติเสือต้องไว้ลาย ชาติชายต้องไว้ชื่อ"" translates to ""A tiger is known for its stripes, a man is known for his reputation."" This idiom emphasizes the importance of maintaining one's reputation and honor. Just as a tiger's identity is defined by its distinctive stripes, a person's character and legacy are defined by their actions and the name they leave behind. An image representing this idiom could feature a majestic tiger with prominent stripes alongside a dignified man, symbolizing the parallel between the tiger's natural markings and the man's esteemed reputation."
Images/2479.png,ชาติเสือไม่ทิ้งลาย,The tiger's nation never loses its stripes.,Chat suea mai thing lai,"Being a man, you must be capable, brave, and strong, and not weak like a woman.","The Thai idiom ""ชาติเสือไม่ทิ้งลาย"" translates to ""A tiger does not abandon its stripes."" This idiom means that a person's inherent nature or characteristics do not change easily, much like a tiger cannot change its stripes. It suggests that people will remain true to their fundamental traits or behaviors, regardless of circumstances. 

For an image representation, you might depict a majestic tiger prominently displaying its distinctive stripes, symbolizing the enduring and unchangeable nature of its identity."
Images/2480.png,ชี้นกเป็นนกชี้ไม้เป็นไม้,"Pointing at a bird turns out to be a bird, pointing at a tree turns out to be a tree.",Chi nok pen nok chi mai pen mai,"No matter what the powerful say, the subordinates must follow along because of fear or flattery.","The Thai idiom 'ชี้นกเป็นนกชี้ไม้เป็นไม้' translates to ""Point at a bird, it's a bird; point at a tree, it's a tree."" This idiom means that people accept things as they are presented or described by someone in authority or someone they trust. It suggests a sense of unquestioning acceptance or belief in what is being pointed out or stated. 

For an image based on this idiom, you might depict a person pointing at a bird and a tree, with others around them nodding in agreement or looking at the objects with trust and acceptance. The scene could be set in a natural environment with clear, identifiable elements like a bird perched on a branch and a tree standing tall, emphasizing the act of pointing and the subsequent acceptance by others."
Images/2481.png,ชี้โพรงให้กระรอก,Point out the hole to the squirrel,Chi phong hai krabok,"People who like to do something out of habit, when someone tells them to, they will do it immediately. for example, people who like to travel, if someone tells them that this place or that place is worth visiting, they will go. or people who are thieving, if someone tells them that this or that house has a lot of wealth, they will find a way to enter or steal things in that house. this is called showing a hole.","The Thai idiom 'ชี้โพรงให้กระรอก' translates to ""pointing out the burrow to the squirrel."" It means to show someone a way to do something, often with the implication that it might be a mischievous or cunning act. In an image, this could be depicted as a person pointing towards a burrow or hole in the ground, with a squirrel nearby, looking curious or ready to enter the burrow. The scene might convey a sense of guidance or subtle manipulation."
Images/2482.png,ช้างสาร งูเห่า ข้าเก่า เมียรัก,"Elephant, Cobra, Old Servant, Beloved Wife",Chang san ngu hao kha kao mia rak,Something that is untrustworthy because they know our inner workings very well.,"The Thai idiom ""ช้างสาร งูเห่า ข้าเก่า เมียรัก"" translates to ""An elephant, a cobra, an old servant, and a beloved wife."" It warns about the potential dangers and difficulties associated with these four entities. The elephant symbolizes great power that can be destructive if not handled properly. The cobra represents hidden dangers and treachery. The old servant signifies someone who knows too much and might betray you. The beloved wife highlights the complexities and potential conflicts in intimate relationships. An image based on this idiom might depict these four elements in a way that emphasizes their potential for causing harm or trouble."
Images/2483.png,ช้างเท้าหน้า,Front foot elephant,Chang thao na,Leader,"The Thai idiom ""ช้างเท้าหน้า"" (Chang Tao Na) translates to ""the front feet of the elephant."" It symbolizes leadership and guidance, as the front feet of an elephant lead the way for the rest of the body. In a broader sense, it refers to someone who takes the lead or sets an example for others to follow. An image based on this idiom might depict an elephant with its front feet prominently leading, symbolizing direction and leadership."
Images/2484.png,ช้างเท้าหลัง,Elephant hind legs,Chang thao lang,"A partner, a follower, a backer, a supporter of one's leader.","The Thai idiom 'ช้างเท้าหลัง' (Chang Tao Lang) translates to 'the hind legs of an elephant.' It symbolizes the supportive role of a wife in a family, where the husband is often seen as the 'front legs' leading the way, and the wife as the 'hind legs' providing essential support and stability. An image representing this idiom could depict an elephant with its front and hind legs, emphasizing the unity and balance between the two, possibly with a subtle representation of a couple working together harmoniously."
Images/2485.png,ใช้แมวเฝ้าปลาย่าง,Use a cat to guard the grilled fish.,Chai maeo fao pla yang,People who make the mistake of leaving something with someone who already wants it end up losing it without realizing it.,"The Thai idiom ""ใช้แมวเฝ้าปลาย่าง"" translates to ""Using a cat to guard grilled fish."" This saying highlights the futility or foolishness of assigning a task to someone who is inherently tempted by it. In this case, a cat, naturally drawn to fish, would be the worst choice to guard it. The image could depict a cat sitting near a grill with fish on it, looking tempted or mischievous, emphasizing the impracticality of the situation."
Images/2486.png,ดักลอบต้องหมั่นกู้ เจ้าชู้ต้องหมั่นเกี้ยว,"A trap must be saved frequently, a flirt must be courted frequently.",Dak lop tong man ku chao chu tong man kiao,"Know how to be attentive and diligent in what you do, and success will follow.","The Thai idiom ""ดักลอบต้องหมั่นกู้ เจ้าชู้ต้องหมั่นเกี้ยว"" translates to ""To catch fish, you must frequently check your traps; to woo someone, you must frequently court them."" This idiom emphasizes the importance of consistent effort and attention in achieving one's goals, whether in fishing or in romantic pursuits. It suggests that success comes from persistence and regular engagement. 

For an image based on this idiom, you might depict a scene with a fisherman diligently checking his traps in a serene river setting, alongside another scene of a person engaging in romantic gestures, such as giving flowers or writing love letters, to court someone. The dual imagery would highlight the parallel between the two activities and the shared theme of persistent effort."
Images/2487.png,ดูช้างให้ดูหน้าหนาว ดูสาวให้ดูหน้าร้อน,"To see elephants, look at the winter. To see girls, look at the summer.",Du chang hai du na nao du sao hai du na ron,It is a statement of advice to observe the characteristics of the elephant and the woman according to nature and the weather conditions.,"The Thai idiom ""ดูช้างให้ดูหน้าหนาว ดูสาวให้ดูหน้าร้อน"" translates to ""To observe an elephant, look in the winter; to observe a woman, look in the summer."" This idiom suggests that to truly understand or evaluate something or someone, you need to consider them in different conditions or contexts. In the case of the elephant, winter might reveal its true nature or condition, while for a woman, summer might do the same. The underlying message is about the importance of context and timing in making accurate judgments."
Images/2488.png,เด็กดอกฟ้า,The Sky Child,Dek dok fa,A man who desires a woman of higher status and a much higher status than himself.,"The Thai idiom ""เด็กดอกฟ้า"" translates to ""child of the celestial flower"" in English. It is often used to describe someone who is exceptionally beautiful, talented, or virtuous, almost as if they are otherworldly or divine. The imagery typically involves a young person surrounded by ethereal, heavenly elements such as glowing flowers, soft light, and a serene, almost magical atmosphere, emphasizing their extraordinary qualities."
